Wavenumber(cm^-1)   Wavelength(nm)  Electronvolts(eV)   Molar Extinction Coefficients(M^-1 cm^-1)
 30426.01643583    328.66608676      3.77234663  10625.68681764
 30430.68284401    328.61568729      3.77292519  10908.00612118
 30435.34925220    328.56530328      3.77350375  11190.36376917
 30440.01566039    328.51493472      3.77408231  11472.19150532
 30444.68206858    328.46458160      3.77466088  11752.90397257
 30449.34847677    328.41424391      3.77523944  12031.90105048
 30454.01488496    328.36392165      3.77581800  12308.57033836
 30458.68129314    328.31361481      3.77639656  12582.28976856
 30463.34770133    328.26332338      3.77697512  12852.43033277
 30468.01410952    328.21304735      3.77755368  13118.35890355
 30472.68051771    328.16278672      3.77813224  13379.44113181
 30477.34692590    328.11254149      3.77871080  13635.04440053
 30482.01333409    328.06231163      3.77928936  13884.54081423
 30486.67974227    328.01209716      3.77986793  14127.31020340
 30491.34615046    327.96189805      3.78044649  14362.74312268
 30496.01255865    327.91171431      3.78102505  14590.24382186
 30500.67896684    327.86154592      3.78160361  14809.23316874
 30505.34537503    327.81139288      3.78218217  15019.15150325
 30510.01178321    327.76125518      3.78276073  15219.46140311
 30514.67819140    327.71113281      3.78333929  15409.65034161
 30519.34459959    327.66102578      3.78391785  15589.23321945
 30524.01100778    327.61093406      3.78449641  15757.75475344
 30528.67741597    327.56085766      3.78507498  15914.79170614
 30533.34382416    327.51079656      3.78565354  16059.95494207
 30538.01023234    327.46075077      3.78623210  16192.89129731
 30542.67664053    327.41072026      3.78681066  16313.28525119
 30547.34304872    327.36070504      3.78738922  16420.86039040
 30552.00945691    327.31070510      3.78796778  16515.38065740
 30556.67586510    327.26072043      3.78854634  16596.65137700
 30561.34227329    327.21075103      3.78912490  16664.52005672
 30566.00868147    327.16079688      3.78970346  16718.87695827
 30570.67508966    327.11085798      3.79028203  16759.65543935
 30575.34149785    327.06093432      3.79086059  16786.83206664
 30580.00790604    327.01102591      3.79143915  16800.42650260
 30584.67431423    326.96113272      3.79201771  16800.50117029
 30589.34072242    326.91125475      3.79259627  16787.16070189
 30594.00713060    326.86139200      3.79317483  16760.55117806
 30598.67353879    326.81154446      3.79375339  16720.85916672
 30603.33994698    326.76171212      3.79433195  16668.31057070
 30608.00635517    326.71189497      3.79491051  16603.16929512
 30612.67276336    326.66209301      3.79548908  16525.73574615
 30617.33917155    326.61230623      3.79606764  16436.34517340
 30622.00557973    326.56253463      3.79664620  16335.36586920
 30626.67198792    326.51277819      3.79722476  16223.19723828
 30631.33839611    326.46303692      3.79780332  16100.26775179
 30636.00480430    326.41331079      3.79838188  15967.03279985
 30640.67121249    326.36359981      3.79896044  15823.97245695
 30645.33762068    326.31390397      3.79953900  15671.58917455
 30650.00402886    326.26422327      3.80011756  15510.40541491
 30654.67043705    326.21455768      3.80069613  15340.96124026
 30659.33684524    326.16490722      3.80127469  15163.81187084
 30664.00325343    326.11527187      3.80185325  14979.52522504
 30668.66966162    326.06565162      3.80243181  14788.67945447
 30673.33606981    326.01604647      3.80301037  14591.86048618
 30678.00247799    325.96645641      3.80358893  14389.65958350
 30682.66888618    325.91688144      3.80416749  14182.67093685
 30687.33529437    325.86732154      3.80474605  13971.48929461
 30692.00170256    325.81777671      3.80532461  13756.70764392
 30696.66811075    325.76824695      3.80590317  13538.91495037
 30701.33451894    325.71873224      3.80648174  13318.69396508
 30706.00092712    325.66923258      3.80706030  13096.61910670
 30710.66733531    325.61974797      3.80763886  12873.25442553
 30715.33374350    325.57027839      3.80821742  12649.15165605
 30720.00015169    325.52082383      3.80879598  12424.84836378
 30724.66655988    325.47138431      3.80937454  12200.86619158
 30729.33296807    325.42195979      3.80995310  11977.70921008
 30733.99937625    325.37255029      3.81053166  11755.86237638
 30738.66578444    325.32315578      3.81111022  11535.79010455
 30743.33219263    325.27377628      3.81168879  11317.93495112
 30747.99860082    325.22441175      3.81226735  11102.71641817
 30752.66500901    325.17506222      3.81284591  10890.52987634
 30757.33141720    325.12572765      3.81342447  10681.74560944
 30761.99782538    325.07640805      3.81400303  10476.70798214
 30766.66423357    325.02710342      3.81458159  10275.73473175
 30771.33064176    324.97781373      3.81516015  10079.11638475
 30775.99704995    324.92853900      3.81573871   9887.11579821
 30780.66345814    324.87927920      3.81631727   9699.96782610
 30785.32986633    324.83003434      3.81689584   9517.87910986
 30789.99627451    324.78080440      3.81747440   9341.02799246
 30794.66268270    324.73158939      3.81805296   9169.56455450
 30799.32909089    324.68238928      3.81863152   9003.61077077
 30803.99549908    324.63320409      3.81921008   8843.26078510
