Wavenumber(cm^-1)   Wavelength(nm)  Electronvolts(eV)   Intensity(normalised)
 21983.42789293    454.88810054      2.72559868      0.02055103
 21993.43289543    454.68116802      2.72683914      0.02113739
 22003.43789793    454.47442368      2.72807960      0.02174120
 22013.44290044    454.26786727      2.72932007      0.02236226
 22023.44790294    454.06149853      2.73056053      0.02300030
 22033.45290544    453.85531721      2.73180099      0.02365502
 22043.45790794    453.64932305      2.73304145      0.02432609
 22053.46291044    453.44351580      2.73428192      0.02501313
 22063.46791294    453.23789520      2.73552238      0.02571573
 22073.47291544    453.03246099      2.73676284      0.02643341
 22083.47791794    452.82721294      2.73800330      0.02716568
 22093.48292045    452.62215078      2.73924377      0.02791197
 22103.48792295    452.41727425      2.74048423      0.02867169
 22113.49292545    452.21258312      2.74172469      0.02944419
 22123.49792795    452.00807712      2.74296515      0.03022878
 22133.50293045    451.80375601      2.74420562      0.03102471
 22143.50793295    451.59961953      2.74544608      0.03183119
 22153.51293545    451.39566744      2.74668654      0.03264739
 22163.51793795    451.19189948      2.74792701      0.03347242
 22173.52294046    450.98831541      2.74916747      0.03430534
 22183.52794296    450.78491497      2.75040793      0.03514517
 22193.53294546    450.58169793      2.75164839      0.03599089
 22203.53794796    450.37866402      2.75288886      0.03684143
 22213.54295046    450.17581301      2.75412932      0.03769566
 22223.54795296    449.97314465      2.75536978      0.03855244
 22233.55295546    449.77065868      2.75661024      0.03941056
 22243.55795796    449.56835487      2.75785071      0.04026879
 22253.56296047    449.36623296      2.75909117      0.04112586
 22263.56796297    449.16429272      2.76033163      0.04198046
 22273.57296547    448.96253390      2.76157209      0.04283126
 22283.57796797    448.76095625      2.76281256      0.04367690
 22293.58297047    448.55955953      2.76405302      0.04451598
 22303.58797297    448.35834350      2.76529348      0.04534711
 22313.59297547    448.15730791      2.76653395      0.04616887
 22323.59797797    447.95645252      2.76777441      0.04697980
 22333.60298048    447.75577708      2.76901487      0.04777848
 22343.60798298    447.55528137      2.77025533      0.04856345
 22353.61298548    447.35496513      2.77149580      0.04933326
 22363.61798798    447.15482812      2.77273626      0.05008647
 22373.62299048    446.95487011      2.77397672      0.05082164
 22383.62799298    446.75509085      2.77521718      0.05153736
 22393.63299548    446.55549011      2.77645765      0.05223221
 22403.63799798    446.35606764      2.77769811      0.05290482
 22413.64300049    446.15682321      2.77893857      0.05355384
 22423.64800299    445.95775657      2.78017903      0.05417796
 22433.65300549    445.75886750      2.78141950      0.05477589
 22443.65800799    445.56015575      2.78265996      0.05534640
 22453.66301049    445.36162108      2.78390042      0.05588830
 22463.66801299    445.16326327      2.78514089      0.05640046
 22473.67301549    444.96508206      2.78638135      0.05688181
 22483.67801799    444.76707724      2.78762181      0.05733132
 22493.68302050    444.56924855      2.78886227      0.05774806
 22503.68802300    444.37159577      2.79010274      0.05813114
 22513.69302550    444.17411867      2.79134320      0.05847975
 22523.69802800    443.97681700      2.79258366      0.05879318
 22533.70303050    443.77969054      2.79382412      0.05907077
 22543.70803300    443.58273905      2.79506459      0.05931196
 22553.71303550    443.38596230      2.79630505      0.05951628
 22563.71803800    443.18936005      2.79754551      0.05968335
 22573.72304051    442.99293208      2.79878597      0.05981286
 22583.72804301    442.79667815      2.80002644      0.05990463
 22593.73304551    442.60059803      2.80126690      0.05995855
 22603.73804801    442.40469149      2.80250736      0.05997461
 22613.74305051    442.20895830      2.80374783      0.05995290
 22623.74805301    442.01339823      2.80498829      0.05989361
 22633.75305551    441.81801105      2.80622875      0.05979704
 22643.75805801    441.62279653      2.80746921      0.05966356
 22653.76306052    441.42775445      2.80870968      0.05949366
 22663.76806302    441.23288457      2.80995014      0.05928792
 22673.77306552    441.03818666      2.81119060      0.05904703
 22683.77806802    440.84366050      2.81243106      0.05877176
 22693.78307052    440.64930587      2.81367153      0.05846298
 22703.78807302    440.45512253      2.81491199      0.05812165
 22713.79307552    440.26111026      2.81615245      0.05774881
 22723.79807802    440.06726883      2.81739291      0.05734562
 22733.80308053    439.87359801      2.81863338      0.05691328
 22743.80808303    439.68009759      2.81987384      0.05645311
 22753.81308553    439.48676734      2.82111430      0.05596648
 22763.81808803    439.29360703      2.82235477      0.05545485
 22773.82309053    439.10061643      2.82359523      0.05491976
 22783.82809303    438.90779533      2.82483569      0.05436279
 22793.83309553    438.71514351      2.82607615      0.05378562
 22803.83809803    438.52266073      2.82731662      0.05318996
 22813.84310054    438.33034678      2.82855708      0.05257758
 22823.84810304    438.13820143      2.82979754      0.05195032
 22833.85310554    437.94622447      2.83103800      0.05131005
 22843.85810804    437.75441566      2.83227847      0.05065870
 22853.86311054    437.56277480      2.83351893      0.04999820
 22863.86811304    437.37130166      2.83475939      0.04933057
 22873.87311554    437.17999602      2.83599985      0.04865780
 22883.87811804    436.98885766      2.83724032      0.04798196
 22893.88312055    436.79788636      2.83848078      0.04730511
 22903.88812305    436.60708190      2.83972124      0.04662932
 22913.89312555    436.41644407      2.84096171      0.04595669
 22923.89812805    436.22597264      2.84220217      0.04528932
 22933.90313055    436.03566740      2.84344263      0.04462931
 22943.90813305    435.84552813      2.84468309      0.04397876
 22953.91313555    435.65555461      2.84592356      0.04333977
 22963.91813805    435.46574663      2.84716402      0.04271443
 22973.92314056    435.27610397      2.84840448      0.04210481
 22983.92814306    435.08662642      2.84964494      0.04151297
 22993.93314556    434.89731375      2.85088541      0.04094095
 23003.93814806    434.70816576      2.85212587      0.04039076
 23013.94315056    434.51918223      2.85336633      0.03986438
 23023.94815306    434.33036294      2.85460679      0.03936378
 23033.95315556    434.14170768      2.85584726      0.03889088
 23043.95815806    433.95321624      2.85708772      0.03844758
 23053.96316057    433.76488840      2.85832818      0.03803571
 23063.96816307    433.57672396      2.85956865      0.03765710
 23073.97316557    433.38872269      2.86080911      0.03731351
 23083.97816807    433.20088439      2.86204957      0.03700668
 23093.98317057    433.01320884      2.86329003      0.03673828
 23103.98817307    432.82569584      2.86453050      0.03650994
 23113.99317557    432.63834516      2.86577096      0.03632327
 23123.99817807    432.45115661      2.86701142      0.03617979
 23134.00318058    432.26412997      2.86825188      0.03608100
 23144.00818308    432.07726503      2.86949235      0.03602834
 23154.01318558    431.89056158      2.87073281      0.03602320
 23164.01818808    431.70401941      2.87197327      0.03606693
 23174.02319058    431.51763832      2.87321373      0.03616081
 23184.02819308    431.33141809      2.87445420      0.03630609
 23194.03319558    431.14535852      2.87569466      0.03650396
 23204.03819808    430.95945939      2.87693512      0.03675558
 23214.04320059    430.77372051      2.87817559      0.03706205
 23224.04820309    430.58814166      2.87941605      0.03742442
 23234.05320559    430.40272264      2.88065651      0.03784370
 23244.05820809    430.21746324      2.88189697      0.03832085
 23254.06321059    430.03236325      2.88313744      0.03885682
 23264.06821309    429.84742247      2.88437790      0.03945246
 23274.07321559    429.66264070      2.88561836      0.04010864
 23284.07821809    429.47801772      2.88685882      0.04082614
 23294.08322060    429.29355334      2.88809929      0.04160573
 23304.08822310    429.10924735      2.88933975      0.04244814
 23314.09322560    428.92509954      2.89058021      0.04335405
 23324.09822810    428.74110972      2.89182067      0.04432411
 23334.10323060    428.55727768      2.89306114      0.04535892
 23344.10823310    428.37360321      2.89430160      0.04645905
 23354.11323560    428.19008612      2.89554206      0.04762504
 23364.11823810    428.00672620      2.89678253      0.04885737
 23374.12324061    427.82352325      2.89802299      0.05015648
 23384.12824311    427.64047706      2.89926345      0.05152278
 23394.13324561    427.45758745      2.90050391      0.05295661
 23404.13824811    427.27485420      2.90174438      0.05445828
 23414.14325061    427.09227711      2.90298484      0.05602803
 23424.14825311    426.90985600      2.90422530      0.05766604
 23434.15325561    426.72759065      2.90546576      0.05937244
 23444.15825811    426.54548086      2.90670623      0.06114727
 23454.16326062    426.36352644      2.90794669      0.06299050
 23464.16826312    426.18172720      2.90918715      0.06490204
 23474.17326562    426.00008292      2.91042761      0.06688168
 23484.17826812    425.81859341      2.91166808      0.06892913
 23494.18327062    425.63725848      2.91290854      0.07104400
 23504.18827312    425.45607793      2.91414900      0.07322576
 23514.19327562    425.27505156      2.91538947      0.07547378
 23524.19827812    425.09417917      2.91662993      0.07778732
 23534.20328063    424.91346056      2.91787039      0.08016545
 23544.20828313    424.73289555      2.91911085      0.08260714
 23554.21328563    424.55248394      2.92035132      0.08511118
 23564.21828813    424.37222552      2.92159178      0.08767619
 23574.22329063    424.19212011      2.92283224      0.09030062
 23584.22829313    424.01216751      2.92407270      0.09298275
 23594.23329563    423.83236752      2.92531317      0.09572065
